F1,F2,ceiling,filename
772,1460,4500,a_kagak_1_RI20160704UVG_1
749,1147,4500,a_kagak_2_RI20160704UVG_1
665,1304,4500,a_kagak_3_RI20160704UVG_1
656,1260,4500,a_kagak_4_RI20160704UVG_1
686,1408,4500,a_kapka_1_RI20160704UVG_1
686,1257,4500,a_kapka_2_RI20160704UVG_1
656,1289,4500,a_kapka_3_RI20160704UVG_1
584,1212,4500,a_papa_1_RI20160701UVG_2
673,1121,4500,a_papa_2_RI20160701UVG_2
724,974,4500,a_papa_3_RI20160701UVG_2
592,979,4500,a_papa_4_RI20160701UVG_2
763,1397,4500,a_zapon_1_RI20160704UVG_3
768,1318,4500,a_zapon_2_RI20160704UVG_3
766,1335,4500,a_zapon_3_RI20160704UVG_3
769,1122,4500,a_zapon_4_RI20160704UVG_3
554,1172,4700,A_kapse_1_RI20160701UVG_2
383,1684,4700,A_kapse_3_RI20160701UVG_2
630,1398,4700,A_pava_1_RI20160705UVG_1
651,1077,4700,A_pava_2_RI20160705UVG_1
623,1358,4700,A_pava_3_RI20160705UVG_1
678,1738,4700,A_pava_4_RI20160705UVG_1
651,1723,4700,A_save_1_RI20160704UVG_1
609,1422,4700,A_save_2_RI20160704UVG_1
674,1697,4700,A_save_3_RI20160704UVG_1
652,1552,4700,A_save_4_RI20160704UVG_1
617,1153,4700,A_save_6_RI20160704UVG_1
651,861,4700,A_vaslit_RI20160704UVG_3
638,1837,4700,A_vate_1_RI20160701UVG_2
523,740,4700,A_vate_2_RI20160701UVG_2
629,2024,4700,A_vate_3_RI20160701UVG_2
499,986,4500,back_schwa_keca_1_RI20160711UVG_1
582,1135,4500,back_schwa_keca_RI20160711UVG_1
523,1424,4500,back_schwa_keste_1_RI20160704UVG_1
515,1510,4500,back_schwa_keste_2_RI20160704UVG_1
548,1358,4500,back_schwa_seker_2_RI20160701UVG_2
489,1289,4500,back_schwa_seker_3_RI20160701UVG_2
559,1475,4500,back_schwa_seker_4_RI20160701UVG_2
533,1518,4500,back_schwa_seker_RI20160704UVG_1
639,1247,4500,back_schwa_teger_1_RI20160704UVG_1
650,1434,4500,back_schwa_teger_2_RI20160704UVG_1
519,1174,4500,back_schwa_teger_3_RI20160704UVG_1
506,1189,4500,back_schwa_teger_4_RI20160704UVG_1
401,1390,4500,back_schwa_teger_5_RI20160704UVG_1
654,1266,4500,back_schwa_tepka_1_RI20160709UVG_2
551,849,4500,back_schwa_tepka_2_RI20160709UVG_2
395,1701,4600,e_cever_1_RI20160705UVG_1
457,1701,4600,e_cever_2_RI20160705UVG_1
450,1187,4600,e_cever_3_RI20160705UVG_1
372,725,4600,e_cever_4_RI20160705UVG_1
443,1330,4600,e_cever_5_RI20160711UVG_1
404,1534,4600,e_kece_RI20160711UVG_1
432,1367,4600,e_sedera_1_RI20160704UVG_1
436,1411,4600,e_sedera_2_RI20160704UVG_1
449,1832,4600,e_seske_1_RI20160701UVG_2
429,1148,4600,e_seske_2_RI20160701UVG_2
547,1771,4600,e_veke_1_RI20160711UVG_1
527,1227,4600,e_veke_2_RI20160711UVG_1
439,1733,4600,e_vekem_2_RI20160711UVG_1
488,1591,4600,e_vekem_RI20160711UVG_1
433,1151,4600,e_vesa_2_RI20160704UVG_1
411,1286,4600,e_vesa_RI20160704UVG_1
490,1324,4600,front_schwa_keze_2_RI20160705UVG_1
478,1518,4600,front_schwa_keze_RI20160704UVG_1
501,1059,4600,front_schwa_peckas_2_RI20160704UVG_2
644,1088,4600,front_schwa_peckas_RI20160704UVG_2
530,866,4600,front_schwa_peckes_3_RI20160704UVG_2
373,1525,4600,front_schwa_pecme_2_RI20160704UVG_2
560,919,4600,front_schwa_pecme_3_RI20160704UVG_2
515,900,4600,front_schwa_pese_1_RI20160705UVG_1
498,1674,4600,front_schwa_pese_2_RI20160705UVG_1
533,1336,4600,front_schwa_peta_RI20160706UVG_2
584,1603,4600,front_schwa_tede_solo1_RI20160704UVG_1
626,1846,4600,front_schwa_tede_solo_RI20160704UVG_1
487,1982,4600,front_schwa_tedem_solo_RI20160701UVG_2
439,1166,4600,front_schwa_veckez_1_RI20160705UVG_1
485,1473,4600,front_schwa_veckez_2_RI20160705UVG_1
270,1745,4700,i_pice_2_RI20160704UVG_1
274,1213,4700,i_pipi_1_RI20160704UVG_1
